[USER] I am looking for a restaurant. I would like something cheap that has Chinese food.  [SYSTEM] I've heard good things about the lucky star. Need a reservation? [END]
[USER] Sure thing. I'll need a reference number too.  [SYSTEM] Your booking was successful, the reference number is FYFXWH1Z . Is there anything else I can help you with today? [END]
[SYSTEM] Your booking was successful, the reference number is FYFXWH1Z . Is there anything else I can help you with today?  [USER] Great. Thank you so much. [END]
[USER] Great. Thank you so much.  [SYSTEM] You are very welcome. Is there anything else I can help you with today? [END]
[SYSTEM] You are very welcome. Is there anything else I can help you with today?  [USER] No that will be all for today. Thank you so much for your help. [END]
[USER] No that will be all for today. Thank you so much for your help.  [SYSTEM] You are welcome. Have a lovely day. [END]
[USER] What is the address and phone number of a cheap restaurant in the north part of town?  [SYSTEM] da vinci pizzeria can be reached at 01223351707 and is located at 20 milton road chesterton [END]
[SYSTEM] da vinci pizzeria can be reached at 01223351707 and is located at 20 milton road chesterton  [USER] Thank you goodbye [END]
[USER] Thank you goodbye  [SYSTEM] enjoy your meal! [END]
[USER] Can you find me an expensive restaurant in the centre?  [SYSTEM] There are 33 restaurants that meet that criteria. Are you looking for a certain type of food? [END]
[SYSTEM] There are 33 restaurants that meet that criteria. Are you looking for a certain type of food?  [USER] I want Chinese food and the restaurant needs to be located in the centre area. [END]
[USER] I want Chinese food and the restaurant needs to be located in the centre area.  [SYSTEM] There are four expensive chinese restaurants located in the centre. I recommend hk fusion. Would you like me to make you a reservation? [END]
[SYSTEM] There are four expensive chinese restaurants located in the centre. I recommend hk fusion. Would you like me to make you a reservation?  [USER] Excellent, lets try HK Fusion for 5 people at 19:15 on Friday. [END]
[USER] Excellent, lets try HK Fusion for 5 people at 19:15 on Friday.  [SYSTEM] I am sorry this booking was unsuccessful. Maybe another time perhaps? [END]
[SYSTEM] I am sorry this booking was unsuccessful. Maybe another time perhaps?  [USER] Please, try booking anytime between 20:15 to 9:15 on Friday. [END]
[USER] Please, try booking anytime between 20:15 to 9:15 on Friday.  [SYSTEM] None of the times are available do you have another restaurant preference? [END]
[SYSTEM] None of the times are available do you have another restaurant preference?  [USER] Any other place in the centre, same expensive price range. [END]
[USER] Any other place in the centre, same expensive price range.  [SYSTEM] I was able to book bedouin, reference number is 4ATMIYSC [END]
[SYSTEM] I was able to book bedouin, reference number is 4ATMIYSC  [USER] Thanks, that's all I need. Have a nice day. [END]
[USER] Thanks, that's all I need. Have a nice day.  [SYSTEM] Okay great. I am glad I could be of help. [END]
[USER] Hi! I need a restaurant that serves Chinese food please!  [SYSTEM] There are quite a few Chinese restaurants. Are you looking for one in particular area or price range? [END]
[SYSTEM] There are quite a few Chinese restaurants. Are you looking for one in particular area or price range?  [USER] Yes. I would like an expensive one please. [END]
[USER] Yes. I would like an expensive one please.  [SYSTEM] What about Hakka? It is an expensive Chinese restaurant in the north part of town. [END]
[SYSTEM] What about Hakka? It is an expensive Chinese restaurant in the north part of town.  [USER] I'm looking for a restaurant in the centre of town. Are there any available? [END]
[USER] I'm looking for a restaurant in the centre of town. Are there any available?  [SYSTEM] I have a listing for ugly duckling,would you like me to make a reservation? [END]
[SYSTEM] I have a listing for ugly duckling,would you like me to make a reservation?  [USER] Yes please, I would like to book a table for 5 people at 11:30 on Wednesday. I would also like a reference number please. [END]
[USER] Yes please, I would like to book a table for 5 people at 11:30 on Wednesday. I would also like a reference number please.  [SYSTEM] I have Tang Chinese open then, Reference number is : 1AZI69I4 . Need anything else? [END]
[SYSTEM] I have Tang Chinese open then, Reference number is : 1AZI69I4 . Need anything else?  [USER] That is everything. Thanks! [END]
[USER] That is everything. Thanks!  [SYSTEM] You are welcome. Enjoy your meal at Tang Chinese. Good Bye. [END]
[USER] Can you help me find a restaurant please?  [SYSTEM] Certainly, to narrow it down, do you have a preference for what part of the city it is in or what type of food is served? [END]
[SYSTEM] Certainly, to narrow it down, do you have a preference for what part of the city it is in or what type of food is served?  [USER] I want one in the certre area and in the moderate price range. [END]
[USER] I want one in the certre area and in the moderate price range.  [SYSTEM] I have found some restaurants. They serve asian oriental, british, chinese, european, gastropub, international, italian, lebanese, modern european, spanish, and turkish. [END]
[SYSTEM] I have found some restaurants. They serve asian oriental, british, chinese, european, gastropub, international, italian, lebanese, modern european, spanish, and turkish.  [USER] I don't care what type of food they serve. What would you recommend? [END]
[USER] I don't care what type of food they serve. What would you recommend?  [SYSTEM] I've heard good things about Riverside Brasserie, they serve Modern European cuisine. Would you like to see if they have tables available? [END]
[SYSTEM] I've heard good things about Riverside Brasserie, they serve Modern European cuisine. Would you like to see if they have tables available?  [USER] That sounds good, I have a group of seven and we want to eat at 20:00 on Friday. [END]
[USER] That sounds good, I have a group of seven and we want to eat at 20:00 on Friday.  [SYSTEM] Unfortunately I wasn't able to get the reservation for you. Would you like me to try somewhere else? [END]
[SYSTEM] Unfortunately I wasn't able to get the reservation for you. Would you like me to try somewhere else?  [USER] Can you recommend another moderately priced restaurant located in the centre? [END]
[USER] Can you recommend another moderately priced restaurant located in the centre?  [SYSTEM] What about the Copper Kettle? They serve British cuisine. [END]
[SYSTEM] What about the Copper Kettle? They serve British cuisine.  [USER] That would work, please book that. [END]
[USER] That would work, please book that.  [SYSTEM] Good news! Booking was successful. The table will be reserved for 15 minutes. Reference number is : ZXIRY17R . [END]
[SYSTEM] Good news! Booking was successful. The table will be reserved for 15 minutes. Reference number is : ZXIRY17R .  [USER] Thanks for all your help. Good bye. [END]
[USER] Thanks for all your help. Good bye.  [SYSTEM] Thank you goodbye. [END]
[USER] I am looking for a moderately priced restaurant in the south part of town.  [SYSTEM] There are two moderately priced restaurants in the south. Would you prefer Italian or Modern European? [END]
[SYSTEM] There are two moderately priced restaurants in the south. Would you prefer Italian or Modern European?  [USER] May I have the address and phone number of the Italian restaurant? [END]
[USER] May I have the address and phone number of the Italian restaurant?  [SYSTEM] That would be the Pizza Hut Cherry Hinton at G4 Cambridge Leisure Park Clifton Way Cherry Hinton, and they can be reached at 01223 323737. Can I help you with anything else today? [END]
[SYSTEM] That would be the Pizza Hut Cherry Hinton at G4 Cambridge Leisure Park Clifton Way Cherry Hinton, and they can be reached at 01223 323737. Can I help you with anything else today?  [USER] Thank you goodbye. [END]
[USER] Thank you goodbye.  [SYSTEM] Thank you, goodbye! [END]
[USER] Hello, I am looking for a moderately priced restaurant on the west side of town.  [SYSTEM] Meghna, is in the west part of town and in the moderate price range. [END]
[SYSTEM] Meghna, is in the west part of town and in the moderate price range.  [USER] Is there anything else? Can I have the address and phone number please? [END]
[USER] Is there anything else? Can I have the address and phone number please?  [SYSTEM] Okay, Meghna's phone number is 01223 727410 and they are located at 205 Victoria Road Chesterton. Is there anything else I can do for you? [END]
[SYSTEM] Okay, Meghna's phone number is 01223 727410 and they are located at 205 Victoria Road Chesterton. Is there anything else I can do for you?  [USER] Are there any other restaurants in that price range and part of town? [END]
[USER] Are there any other restaurants in that price range and part of town?  [SYSTEM] Yes, prezzo serving italian food, and saint johns chop house serving british food are also in the west part of town. [END]
[SYSTEM] Yes, prezzo serving italian food, and saint johns chop house serving british food are also in the west part of town.  [USER] What is the address and phone number? [END]
[USER] What is the address and phone number?  [SYSTEM] Thier address is 21 - 24 Northampton Road and phone number is 01799 521260 [END]
